sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
24N02519	1	Plate2	225CWMLT4	ILLUMINA	1	24N02519	24N02519-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02519/B_24N02519_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02519/B_24N02519_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	2644194.953	2634498.193
24N02520	1	Plate2	225CWMLT4	ILLUMINA	1	24N02520	24N02520-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02520/B_24N02520_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02520/B_24N02520_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3404578.466	3359934.805
24N02521	1	Plate2	225CWMLT4	ILLUMINA	1	24N02521	24N02521-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02521/B_24N02521_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02521/B_24N02521_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3463444.836	3450011.234
24N02522	1	Plate2	225CWMLT4	ILLUMINA	1	24N02522	24N02522-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02522/B_24N02522_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02522/B_24N02522_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3007003.719	2931994.313
24N02523	1	Plate1	225C2WLT4	ILLUMINA	3	24N02523	24N02523-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02523/B_24N02523_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02523/B_24N02523_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	1430913.074	1402563.355
24N02524	1	Plate2	225CWMLT4	ILLUMINA	1	24N02524	24N02524-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02524/B_24N02524_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02524/B_24N02524_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	2366470.878	2309325.158
24N02525	1	Plate2	225CWMLT4	ILLUMINA	1	24N02525	24N02525-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02525/B_24N02525_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02525/B_24N02525_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3283499.009	3232034.109
24N02526	1	Plate2	225CWMLT4	ILLUMINA	1	24N02526	24N02526-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02526/B_24N02526_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02526/B_24N02526_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3342214.041	3237519.078
24N02527	1	Plate2	225CWMLT4	ILLUMINA	1	24N02527	24N02527-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02527/B_24N02527_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02527/B_24N02527_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3510542.604	3433032.925
24N02528	1	Plate1	225C2WLT4	ILLUMINA	3	24N02528	24N02528-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02528/B_24N02528_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02528/B_24N02528_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	2588861.652	2547054.379
24N02531	1	Plate1	225C2WLT4	ILLUMINA	3	24N02531	24N02531-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02531/B_24N02531_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02531/B_24N02531_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	2535652.494	2477726.587
24N02532	1	Plate2	225CWMLT4	ILLUMINA	1	24N02532	24N02532-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02532/B_24N02532_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02532/B_24N02532_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	2543201.771	2458634.737
